"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PNB","EQ","30-Apr-2021","         35.05","         34.55","         35.70","         34.50","         34.80","         34.85","         35.15","   95008214","          3339077043.40","      66828","   12635259","         13.30"
"PNB","EQ","03-May-2021","         34.85","         34.50","         34.70","         34.00","         34.50","         34.50","         34.35","  105720320","          3631526323.35","      70366","   13708384","         12.97"
"PNB","EQ","04-May-2021","         34.50","         34.80","         39.20","         34.70","         37.70","         37.45","         37.38","  426069700","         15924843209.20","     282870","   45330561","         10.64"
"PNB","EQ","05-May-2021","         37.45","         38.55","         38.70","         37.15","         37.30","         37.45","         37.66","  178293892","          6715096583.85","     116671","   28402622","         15.93"
"PNB","EQ","06-May-2021","         37.45","         37.50","         37.75","         36.20","         36.30","         36.40","         36.67","  114302420","          4191840987.95","      84917","   18942150","         16.57"
"PNB","EQ","07-May-2021","         36.40","         36.65","         36.95","         35.95","         36.20","         36.25","         36.37","  110980908","          4036700881.65","      92977","   25985124","         23.41"
"PNB","EQ","10-May-2021","         36.25","         36.55","         36.70","         35.00","         35.60","         35.60","         35.81","  175653730","          6290339892.35","     154597","   43812164","         24.94"
"PNB","EQ","11-May-2021","         35.60","         34.85","         35.35","         33.75","         35.30","         35.05","         34.63","  231689524","          8023201108.65","     277104","   82721927","         35.70"
"PNB","EQ","12-May-2021","         35.05","         35.75","         38.20","         35.55","         37.10","         37.10","         37.15","  345869236","         12848136994.30","     321589","   96459206","         27.89"
"PNB","EQ","14-May-2021","         37.10","         37.80","         38.40","         36.50","         36.75","         36.80","         37.38","  185587845","          6938155512.25","     193866","   44270530","         23.85"
"PNB","EQ","17-May-2021","         36.80","         37.20","         37.80","         36.85","         37.75","         37.65","         37.49","  108033820","          4050338912.10","     110671","   29037826","         26.88"
"PNB","EQ","18-May-2021","         37.65","         38.35","         38.35","         37.20","         37.45","         37.35","         37.70","   91471489","          3448364903.80","     106011","   27192435","         29.73"
"PNB","EQ","19-May-2021","         37.35","         36.30","         36.85","         35.75","         36.30","         36.20","         36.34","  154514444","          5615556906.15","     161728","   63887173","         41.35"
"PNB","EQ","20-May-2021","         36.20","         36.50","         37.90","         35.95","         37.90","         37.50","         37.18","  339156585","         12610848156.00","     229721","  112786901","         33.26"
"PNB","EQ","21-May-2021","         37.50","         38.00","         38.35","         37.55","         38.15","         38.05","         37.97","  178307284","          6770143733.50","     146573","   51280999","         28.76"
"PNB","EQ","24-May-2021","         38.05","         39.20","         40.10","         38.75","         40.00","         39.80","         39.45","  277203783","         10936165523.05","     252729","   80843264","         29.16"
"PNB","EQ","25-May-2021","         39.80","         40.40","         40.50","         39.20","         39.35","         39.35","         39.67","  163516340","          6486028497.75","     157177","   44583797","         27.27"
"PNB","EQ","26-May-2021","         39.35","         39.50","         40.25","         39.05","         39.30","         39.25","         39.62","  155307751","          6153114920.25","     116596","   40434128","         26.03"
"PNB","EQ","27-May-2021","         39.25","         39.50","         42.40","         39.40","         42.00","         42.15","         41.11","  511815455","         21042047245.95","     387379","  114791375","         22.43"
"PNB","EQ","28-May-2021","         42.15","         42.80","         42.80","         41.00","         42.35","         42.25","         41.90","  335658662","         14062580014.90","     273536","   56930579","         16.96"
"PNB","EQ","31-May-2021","         42.25","         42.35","         43.20","         41.60","         42.30","         42.40","         42.50","  240394043","         10216476268.90","     203506","   36219971","         15.07"
"PNB","EQ","01-Jun-2021","         42.40","         42.55","         42.65","         41.10","         41.65","         41.65","         41.85","  172714836","          7228855505.05","     152343","   34218251","         19.81"
"PNB","EQ","02-Jun-2021","         41.65","         41.90","         44.55","         41.60","         43.90","         44.00","         43.44","  397167134","         17253142960.85","     313245","   89029185","         22.42"
"PNB","EQ","03-Jun-2021","         44.00","         44.50","         45.00","         43.40","         43.45","         43.70","         44.20","  265127956","         11717987617.80","     247620","   55716266","         21.01"
"PNB","EQ","04-Jun-2021","         43.70","         43.55","         43.60","         42.95","         43.10","         43.10","         43.22","  142152047","          6143572476.25","     150803","   43952564","         30.92"
